genomeID,difference count,iterations,,,,,,,,,,,,,,,,,,,,
GCA_000003645,10,['9', '9', '6', '3', '1', '2', '1', '3', '2', '0'],,,,,,,,,,,
GCA_000009505,2,['3', '0'],,,,,,,,,,,,,,,,,,,
GCA_000009525,3,['3', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000009545,8,['3', '2', '2', '2', '4', '4', '2', '0'],,,,,,,,,,,,,
GCA_000009565,3,['4', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000009585,6,['10', '8', '7', '2', '2', '0'],,,,,,,,,,,,,,,
GCA_000009605,5,['6', '3', '3', '2', '0'],,,,,,,,,,,,,,,,
GCA_000009625,6,['6', '1', '1', '1', '1', '0'],,,,,,,,,,,,,,,
GCA_000009645,8,['9', '5', '5', '3', '2', '2', '1', '0'],,,,,,,,,,,,,
GCA_000009665,9,['9', '6', '4', '2', '3', '1', '1', '2', '0'],,,,,,,,,,,,
GCA_000009685,4,['11', '6', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000009705,5,['14', '6', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000009725,7,['18', '10', '8', '5', '1', '1', '0'],,,,,,,,,,,,,,
GCA_000009745,4,['3', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000009765,4,['4', '4', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000009785,21,['4', '1', '2', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
GCA_000009805,5,['5', '3', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000009845,2,['9', '0'],,,,,,,,,,,,,,,,,,,
GCA_000009865,8,['6', '4', '7', '5', '4', '1', '1', '0'],,,,,,,,,,,,,
GCA_000009885,3,['5', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000009905,7,['12', '4', '2', '1', '1', '1', '0'],,,,,,,,,,,,,,
GCA_000009925,4,['12', '13', '3', '0'],,,,,,,,,,,,,,,,,
GCA_000009945,2,['6', '0'],,,,,,,,,,,,,,,,,,,
GCA_000009985,2,['5', '0'],,,,,,,,,,,,,,,,,,,
GCA_000010005,2,['4', '0'],,,,,,,,,,,,,,,,,,,
GCA_000010025,5,['7', '4', '3', '3', '0'],,,,,,,,,,,,,,,,
GCA_000010045,7,['13', '15', '11', '4', '1', '1', '0'],,,,,,,,,,,,,,
GCA_000010065,5,['2', '2', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000010085,5,['7', '3', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000010105,6,['4', '2', '1', '1', '1', '0'],,,,,,,,,,,,,,,
GCA_000010125,3,['8', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000010145,4,['4', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000010165,3,['4', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000010185,4,['6', '4', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000010205,4,['5', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000010225,3,['5', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000010245,3,['3', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000010265,3,['4', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000010285,5,['10', '10', '5', '2', '0'],,,,,,,,,,,,,,,,
GCA_000010305,5,['6', '1', '1', '2', '0'],,,,,,,,,,,,,,,,
GCA_000010325,3,['12', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000010345,4,['18', '5', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000010365,4,['2', '1', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000010385,2,['3', '0'],,,,,,,,,,,,,,,,,,,
GCA_000010405,3,['5', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000010425,3,['8', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000010445,5,['9', '6', '4', '1', '0'],,,,,,,,,,,,,,,,
GCA_000010465,6,['10', '8', '3', '4', '1', '0'],,,,,,,,,,,,,,,
GCA_000010485,4,['3', '1', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000010505,8,['6', '2', '4', '5', '12', '4', '2', '0'],,,,,,,,,,,,,
GCA_000010525,6,['6', '3', '2', '3', '1', '0'],,,,,,,,,,,,,,,
GCA_000010545,5,['6', '3', '4', '1', '0'],,,,,,,,,,,,,,,,
GCA_000010565,5,['8', '4', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000010585,5,['12', '10', '8', '1', '0'],,,,,,,,,,,,,,,,
GCA_000010605,6,['5', '3', '3', '3', '1', '0'],,,,,,,,,,,,,,,
GCA_000010625,6,['12', '12', '5', '3', '2', '0'],,,,,,,,,,,,,,,
GCA_000010645,4,['7', '3', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000010665,5,['5', '2', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000010685,4,['6', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000010705,5,['4', '1', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000010725,4,['6', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000010745,2,['4', '0'],,,,,,,,,,,,,,,,,,,
GCA_000010765,2,['3', '0'],,,,,,,,,,,,,,,,,,,
GCA_000010785,7,['6', '5', '7', '7', '6', '2', '0'],,,,,,,,,,,,,,
GCA_000010805,3,['7', '3', '0'],,,,,,,,,,,,,,,,,,
GCA_000010825,3,['3', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000010845,3,['3', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000010865,3,['3', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000010885,3,['3', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000010905,3,['3', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000010925,3,['3', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000010945,3,['3', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000010965,3,['3', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000010985,3,['3', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000011025,6,['7', '7', '8', '4', '1', '0'],,,,,,,,,,,,,,,
GCA_000011045,6,['5', '2', '1', '2', '1', '0'],,,,,,,,,,,,,,,
GCA_000011065,5,['10', '4', '4', '1', '0'],,,,,,,,,,,,,,,,
GCA_000011145,11,['11', '9', '6', '5', '2', '2', '1', '1', '1', '1', '0'],,,,,,,,,,
GCA_000011165,4,['4', '1', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000011225,8,['5', '3', '3', '2', '1', '1', '1', '0'],,,,,,,,,,,,,
GCA_000011245,10,['13', '4', '4', '4', '2', '1', '1', '1', '1', '0'],,,,,,,,,,,
GCA_000011265,5,['12', '7', '5', '2', '0'],,,,,,,,,,,,,,,,
GCA_000011285,3,['5', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000011305,5,['7', '4', '4', '1', '0'],,,,,,,,,,,,,,,,
GCA_000011325,4,['4', '1', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000011345,3,['3', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000011365,7,['8', '4', '3', '2', '3', '1', '0'],,,,,,,,,,,,,,
GCA_000011385,3,['6', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000011445,5,['8', '3', '3', '1', '0'],,,,,,,,,,,,,,,,
GCA_000011465,3,['5', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000011485,5,['2', '1', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000011505,7,['10', '8', '3', '2', '1', '1', '0'],,,,,,,,,,,,,,
GCA_000011525,8,['12', '7', '4', '2', '1', '1', '1', '0'],,,,,,,,,,,,,
GCA_000011545,4,['10', '7', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000011565,3,['5', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000011605,2,['4', '0'],,,,,,,,,,,,,,,,,,,
GCA_000011625,7,['14', '11', '8', '5', '1', '1', '0'],,,,,,,,,,,,,,
GCA_000011645,12,['7', '4', '3', '1', '2', '5', '11', '11', '3', '1', '1', '0'],,,,,,,,,
GCA_000011665,4,['2', '1', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000011685,5,['7', '4', '3', '1', '0'],,,,,,,,,,,,,,,,
GCA_000011705,4,['7', '5', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000011725,5,['4', '1', '3', '2', '0'],,,,,,,,,,,,,,,,
GCA_000011745,3,['4', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000011765,5,['3', '1', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000011785,8,['7', '4', '4', '4', '5', '4', '1', '0'],,,,,,,,,,,,,
GCA_000011805,2,['5', '0'],,,,,,,,,,,,,,,,,,,
GCA_000011825,2,['3', '0'],,,,,,,,,,,,,,,,,,,
GCA_000011845,2,['3', '0'],,,,,,,,,,,,,,,,,,,
GCA_000011865,5,['6', '3', '3', '1', '0'],,,,,,,,,,,,,,,,
GCA_000011885,3,['4', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000011905,5,['8', '8', '3', '1', '0'],,,,,,,,,,,,,,,,
GCA_000011925,6,['8', '4', '2', '2', '1', '0'],,,,,,,,,,,,,,,
GCA_000011945,4,['11', '6', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000011965,8,['11', '5', '7', '4', '2', '1', '1', '0'],,,,,,,,,,,,,
GCA_000011985,4,['8', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000012005,2,['3', '0'],,,,,,,,,,,,,,,,,,,
GCA_000012025,2,['4', '0'],,,,,,,,,,,,,,,,,,,
GCA_000012045,6,['10', '8', '3', '5', '2', '0'],,,,,,,,,,,,,,,
GCA_000012065,4,['4', '3', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000012085,3,['4', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000012105,3,['7', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000012125,4,['3', '3', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000012145,10,['5', '3', '2', '1', '1', '1', '2', '1', '1', '0'],,,,,,,,,,,
GCA_000012165,4,['2', '1', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000012185,13,['6', '2', '2', '3', '4', '3', '3', '1', '3', '2', '1', '1', '0'],,,,,,,,
GCA_000012205,3,['3', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000012225,2,['9', '0'],,,,,,,,,,,,,,,,,,,
GCA_000012245,6,['5', '9', '6', '3', '1', '0'],,,,,,,,,,,,,,,
GCA_000012265,4,['14', '10', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000012305,4,['5', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000012325,8,['7', '7', '5', '2', '1', '1', '1', '0'],,,,,,,,,,,,,
GCA_000012345,21,['5', '2', '3', '2', '1', '1', '2', '2', '1', '1', '2', '2', '1', '1', '2', '2', '1', '1', '2', '2', '1']
GCA_000012365,4,['9', '3', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000012385,4,['4', '3', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000012405,2,['3', '0'],,,,,,,,,,,,,,,,,,,
GCA_000012425,5,['11', '4', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000012445,3,['11', '5', '0'],,,,,,,,,,,,,,,,,,
GCA_000012465,4,['11', '3', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000012485,6,['10', '5', '3', '2', '1', '0'],,,,,,,,,,,,,,,
GCA_000012505,7,['4', '4', '2', '1', '1', '1', '0'],,,,,,,,,,,,,,
GCA_000012525,3,['3', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000012565,3,['5', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000012585,4,['13', '7', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000012605,7,['5', '4', '6', '6', '1', '1', '0'],,,,,,,,,,,,,,
GCA_000012625,3,['10', '3', '0'],,,,,,,,,,,,,,,,,,
GCA_000012645,3,['7', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000012665,4,['8', '1', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000012685,4,['8', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000012705,2,['2', '0'],,,,,,,,,,,,,,,,,,,
GCA_000012725,21,['5', '4', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
GCA_000012745,12,['6', '5', '3', '2', '2', '1', '1', '1', '1', '1', '1', '0'],,,,,,,,,
GCA_000012765,7,['8', '5', '4', '3', '1', '2', '0'],,,,,,,,,,,,,,
GCA_000012785,5,['8', '8', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000012805,10,['8', '5', '8', '4', '1', '1', '1', '3', '1', '0'],,,,,,,,,,,
GCA_000012825,2,['4', '0'],,,,,,,,,,,,,,,,,,,
GCA_000012845,3,['15', '10', '0'],,,,,,,,,,,,,,,,,,
GCA_000012865,5,['14', '4', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000012885,6,['13', '8', '4', '1', '1', '0'],,,,,,,,,,,,,,,
GCA_000012905,11,['7', '6', '2', '2', '3', '4', '4', '1', '1', '1', '0'],,,,,,,,,,
GCA_000012925,5,['17', '11', '2', '2', '0'],,,,,,,,,,,,,,,,
GCA_000012945,8,['8', '5', '2', '1', '2', '1', '1', '0'],,,,,,,,,,,,,
GCA_000012965,4,['8', '1', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000012985,9,['11', '12', '7', '4', '6', '5', '2', '1', '0'],,,,,,,,,,,,
GCA_000013005,3,['5', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000013025,4,['8', '4', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000013045,3,['10', '4', '0'],,,,,,,,,,,,,,,,,,
GCA_000013065,8,['13', '6', '3', '3', '1', '1', '1', '0'],,,,,,,,,,,,,
GCA_000013085,5,['10', '4', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000013105,4,['8', '3', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000013125,4,['5', '4', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000013145,4,['5', '3', '3', '0'],,,,,,,,,,,,,,,,,
GCA_000013165,14,['4', '2', '1', '1', '1', '1', '1', '1', '2', '1', '4', '4', '2', '0'],,,,,,,
GCA_000013185,4,['4', '2', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000013205,5,['11', '3', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000013225,4,['5', '1', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000013245,7,['5', '1', '1', '2', '1', '1', '0'],,,,,,,,,,,,,,
GCA_000013265,3,['4', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000013285,10,['12', '3', '2', '1', '1', '2', '2', '1', '1', '0'],,,,,,,,,,,
GCA_000013305,3,['5', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000013325,2,['3', '0'],,,,,,,,,,,,,,,,,,,
GCA_000013345,10,['7', '4', '5', '4', '3', '2', '4', '2', '1', '0'],,,,,,,,,,,
GCA_000013365,5,['4', '2', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000013385,7,['7', '5', '7', '8', '7', '2', '0'],,,,,,,,,,,,,,
GCA_000013405,7,['10', '8', '5', '1', '2', '1', '0'],,,,,,,,,,,,,,
GCA_000013425,5,['10', '7', '4', '4', '0'],,,,,,,,,,,,,,,,
GCA_000013465,6,['10', '7', '4', '1', '1', '0'],,,,,,,,,,,,,,,
GCA_000013485,4,['4', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000013505,4,['2', '1', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000013525,4,['3', '3', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000013545,5,['3', '1', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000013565,7,['10', '5', '4', '1', '1', '1', '0'],,,,,,,,,,,,,,
GCA_000013585,2,['4', '0'],,,,,,,,,,,,,,,,,,,
GCA_000013605,4,['12', '4', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000013625,6,['4', '2', '3', '2', '1', '0'],,,,,,,,,,,,,,,
GCA_000013645,3,['6', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000013665,8,['6', '5', '2', '4', '4', '3', '1', '0'],,,,,,,,,,,,,
GCA_000013685,6,['6', '1', '2', '1', '1', '0'],,,,,,,,,,,,,,,
GCA_000013705,8,['8', '10', '8', '6', '3', '5', '3', '0'],,,,,,,,,,,,,
GCA_000013745,3,['4', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000013765,2,['3', '0'],,,,,,,,,,,,,,,,,,,
